timestamps,open,high,low,close,volume,amount
2024-09-12,914.4468438331116,922.2626288231382,906.631058843085,918.354736328125,39454846,36233544695.19678
2024-09-13,933.0092658714609,933.0092658714609,917.3776970191642,925.1934814453125,25347586,23451421337.574463
2024-09-16,930.0783467116553,930.0783467116553,921.2855892322384,925.1934814453125,13626239,12606907499.415894
2024-09-18,923.2394960506816,926.1704150857631,911.5158199103555,919.3316040039062,28424324,26131379375.64673
2024-09-19,918.3547032674154,937.8941650390625,914.446810913086,937.8941650390625,32739630,30706307942.53784
2024-09-20,958.4105105424588,959.3874835399537,948.6407805675102,950.5947265625,60133709,57162786664.043945
2024-09-23,948.6408471504766,954.502685546875,948.6408471504766,954.502685546875,14497067,13837489384.052979
2024-09-24,953.5256360024063,964.2723388671875,948.6407710638694,964.2723388671875,26785975,25828974762.088013
2024-09-25,976.9730449315921,981.85791015625,975.0190988417289,981.85791015625,39405222,38690328922.163086
2024-09-26,986.7427593663408,991.6276245117188,981.8578942209629,991.6276245117188,38321585,38000742301.07391
2024-09-27,996.5124829101563,1001.397348022461,976.9730224609375,976.9730224609375,35783779,34959786724.70422
2024-09-30,955.4796919389204,967.203369140625,934.9632568359375,934.9632568359375,61603217,57596744397.89099
2024-10-01,944.7329326362767,954.5026630668483,944.7329326362767,949.6177978515625,26760355,25412109384.82605
2024-10-04,963.2954431414726,963.2954431414726,944.7329548862109,954.502685546875,40934818,39072393713.37256
2024-10-07,970.134233617071,986.742775380908,966.2263414373446,981.85791015625,39667071,38947427434.07959
2024-10-08,976.9730671797648,986.7427978515625,974.0421479782256,986.7427978515625,30845902,30436971641.735107
2024-10-09,1006.2822427188648,1011.1671079747817,996.5125122070312,996.5125122070312,46975717,46811889760.396545
2024-10-11,1001.397307911558,1025.8216324947666,996.5124429949162,1020.936767578125,43058754,43960265124.70166
2024-10-14,1020.936767578125,1030.7064974114085,1011.1670377448414,1020.936767578125,36858874,37630579678.129395
2024-10-15,1025.8217442592727,1050.246071503541,1025.8217442592727,1045.3612060546875,42850176,44793911663.015625
2024-10-16,1016.0519026614833,1045.3610921613338,1011.1670377448414,1020.936767578125,52652149,53754514806.10181
2024-10-17,1025.8216481968975,1030.7065131883114,1006.2821882312425,1011.1670532226562,54173771,54778732384.02899
2024-10-18,1069.7854774580574,1074.6703426519298,1050.2460166825676,1060.0157470703125,85011961,90114017349.32727
2024-10-21,1064.900612264185,1069.7854774580574,1055.13088187644,1060.0157470703125,36491060,38681098227.2876
2024-10-22,1040.4762417105742,1050.2459716796875,1035.5913767260174,1050.2459716796875,41197877,43267904361.00525
2024-10-23,1035.5914306640625,1045.3611611420254,1030.706565425081,1035.5914306640625,31423466,32541872111.363525
2024-10-24,1045.3611611420254,1050.2460263810067,1030.706565425081,1035.5914306640625,38236996,39597905391.936035
2024-10-25,1040.4761962890625,1045.3610610603728,1035.5913315177525,1040.4761962890625,22009575,22900438877.938843
2024-10-28,1050.2459803989955,1055.130845424107,1025.8216552734375,1025.8216552734375,40142324,41178865252.20264
2024-10-29,1011.1670150756836,1016.0518798828125,996.5124206542969,1016.0518798828125,45415773,46144781532.98108
2024-10-30,1016.0518952897452,1030.7064899333473,1006.2821655273438,1006.2821655273438,38201984,38441975186.96094
2024-11-01,973.0652400914634,1006.2823266006097,973.0652400914634,1001.3974609375,54480255,54556389028.22754
2024-11-04,1006.2821502685547,1020.9367446899414,1001.3972854614258,1016.0518798828125,26747978,27177333329.96411
2024-11-05,1006.2821951729911,1030.706520298549,1006.2821951729911,1025.8216552734375,32385622,33221872367.099854
2024-11-06,1025.8217001860996,1055.1308916199882,1016.0519697081368,1035.5914306640625,55349259,57319218314.00574
2024-11-07,1025.8216019751321,1050.2459258316828,1025.8216019751321,1040.4761962890625,43975446,45755404784.19507
2024-11-08,1060.015647958178,1064.9005126953125,1055.1307832210437,1064.9005126953125,37099479,39507254207.82898
2024-11-11,1055.13088187644,1064.900612264185,1045.3611514886952,1060.0157470703125,34690205,36772163569.09729
2024-11-12,1035.5913853236607,1040.4762503487723,1025.8216552734375,1025.8216552734375,51099848,52419330659.581055
2024-11-13,1020.9367832054838,1025.8216481968975,1011.1670532226562,1011.1670532226562,42331232,42803947120.72461
2024-11-14,1006.2821882312425,1016.05191821407,1001.3973232398287,1011.1670532226562,44627940,45126302581.19751
2024-11-15,1016.05191821407,1020.9367832054838,1006.2821882312425,1011.1670532226562,34791611,35180130771.73895
2024-11-18,1006.2823266006097,1011.1671922637195,996.5125952743902,1001.3974609375,31815076,31859536325.933594
2024-11-19,1006.2821502685547,1020.9367446899414,1001.3972854614258,1016.0518798828125,24349599,24740455838.34265
2024-11-20,1001.3974609375,1001.3974609375,1001.3974609375,1001.3974609375,40203197,40259379397.37012
2024-11-21,996.5125285233602,1001.397393859259,986.7427978515625,986.7427978515625,41429227,40879991362.807495
2024-11-22,1011.1670150756836,1025.8216094970703,1011.1670150756836,1016.0518798828125,25187973,25592287317.087524
2024-11-25,1020.9367601709458,1025.8216250521466,1006.2821655273438,1006.2821655273438,49566674,49878060050.707886
2024-11-26,991.6276631874613,996.5125285233602,986.7427978515625,986.7427978515625,27312402,26950315965.52661
2024-11-27,986.7427526855469,996.5124829101563,976.9730224609375,976.9730224609375,31276090,30555896178.060303
2024-11-28,981.85791015625,981.85791015625,969.1572605721393,981.85791015625,33689956,33078749791.416016
2024-11-29,972.0881514951408,986.7427467438113,971.1111784785627,973.0651245117188,40094983,39015029625.19025
2024-12-02,996.5124582484149,1016.05191821407,991.6275932570011,1011.1670532226562,31168404,31516463226.333252
2024-12-03,1035.5914081013034,1040.4762732338568,1030.70654296875,1030.70654296875,43414538,44747648376.56543
2024-12-04,1040.4763406058337,1045.3612060546875,1030.7066097081265,1045.3612060546875,33466290,34984361276.57593
2024-12-05,1045.3611066951307,1055.1308366642443,1045.3611066951307,1050.2459716796875,31425359,33004356698.338013
2024-12-06,1050.2459258316828,1055.130790602993,1035.5913315177525,1040.4761962890625,30765288,32010549835.97754
2024-12-09,1045.3611066951307,1050.2459716796875,1040.4762417105742,1050.2459716796875,22247131,23364959714.180298
2024-12-10,1045.3610610603728,1050.2459258316828,1035.5913315177525,1040.4761962890625,28506584,29660422089.51465
2024-12-11,1020.936767578125,1035.5913623280503,1020.936767578125,1020.936767578125,25264194,25793144557.82666
2024-12-12,1039.5701904296875,1044.4738234034126,1034.6665574559627,1039.5701904296875,22791260,23693114498.33252
2024-12-13,1039.570243727993,1049.3775101782571,1034.666610502861,1044.473876953125,20423659,21331978297.298584
2024-12-16,1064.08837890625,1064.08837890625,1054.2811127412156,1064.08837890625,39722392,42268135709.55859
2024-12-17,1068.9920273891714,1073.8956605423327,1054.2811279296875,1054.2811279296875,37880707,39936914502.73401
2024-12-18,1054.2811127412156,1068.9920119887674,1049.3774796586981,1064.08837890625,41863190,44546133982.944336
